Timestamp: 2023-01-01 12:00:00 | User: user1 | Action: Access Granted | Bandwidth: 500
Timestamp: 2023-01-01 12:05:00 | User: user2 | Action: Blocked Site | Bandwidth: 0
Timestamp: 2023-01-01 12:10:00 | User: user1 | Action: Access Granted | Bandwidth: 300
Timestamp: 2023-01-01 12:15:00 | User: user3 | Action: Access Denied | Bandwidth: 0
Timestamp: 2023-01-01 12:20:00 | User: user2 | Action: Blocked Site | Bandwidth: 0
Timestamp: 2023-01-01 12:25:00 | User: user1 | Action: Access Granted | Bandwidth: 700
Timestamp: 2023-12-20 19:14:07 | User: user1 | Action: Access Denied | Bandwidth: 652 | Domain: trusted-site.com
Timestamp: 2023-12-20 19:14:07 | User: user3 | Action: Blocked Site | Bandwidth: 330 | Domain: example.com
Timestamp: 2023-12-20 19:14:07 | User: user1 | Action: Access Granted | Bandwidth: 940 | Domain: example.com
Timestamp: 2023-12-20 19:14:07 | User: user2 | Action: Access Denied | Bandwidth: 189 | Domain: unapproved-site.com
Timestamp: 2023-12-20 19:14:07 | User: user2 | Action: Blocked Site | Bandwidth: 819 | Domain: example.com
Timestamp: 2023-12-20 19:14:07 | User: user1 | Action: Access Granted | Bandwidth: 999 | Domain: trusted-site.com
Timestamp: 2023-12-20 19:14:07 | User: user2 | Action: Blocked Site | Bandwidth: 786 | Domain: example.com
Timestamp: 2023-12-20 19:14:07 | User: user2 | Action: Access Denied | Bandwidth: 381 | Domain: trusted-site.com
Timestamp: 2023-12-20 19:14:07 | User: user1 | Action: Access Granted | Bandwidth: 481 | Domain: unapproved-site.com
Timestamp: 2023-12-20 19:14:07 | User: user2 | Action: Blocked Site | Bandwidth: 481 | Domain: trusted-site.com
Timestamp: 2023-01-01 12:00:00 | User: user1 | Action: Access Granted | Bandwidth: 500
Timestamp: 2023-01-01 12:05:00 | User: user2 | Action: Blocked Site | Bandwidth: 0
Timestamp: 2023-01-01 12:10:00 | User: user1 | Action: Access Granted | Bandwidth: 300
Timestamp: 2023-01-01 12:15:00 | User: user3 | Action: Access Denied | Bandwidth: 0
Timestamp: 2023-01-01 12:20:00 | User: user2 | Action: Blocked Site | Bandwidth: 0
Timestamp: 2023-01-01 12:25:00 | User: user1 | Action: Access Granted | Bandwidth: 700
Timestamp: 2023-01-01 12:00:00 | User: user1 | Action: Access Granted | Bandwidth: 500
Timestamp: 2023-01-01 12:05:00 | User: user2 | Action: Blocked Site | Bandwidth: 0
Timestamp: 2023-01-01 12:10:00 | User: user1 | Action: Access Granted | Bandwidth: 300
Timestamp: 2023-01-01 12:15:00 | User: user3 | Action: Blocked Site | Bandwidth: 0
Timestamp: 2023-01-01 12:20:00 | User: user2 | Action: Blocked Site | Bandwidth: 0
Timestamp: 2023-01-01 12:25:00 | User: user1 | Action: Access Granted | Bandwidth: 700
Timestamp: 2023-01-01 12:00:00 | User: user1 | Action: Access Granted | Bandwidth: 500
Timestamp: 2023-01-01 12:05:00 | User: user2 | Action: Blocked Site | Bandwidth: 0
Timestamp: 2023-01-01 12:10:00 | User: user1 | Action: Access Granted | Bandwidth: 300
Timestamp: 2023-01-01 12:15:00 | User: user3 | Action: Blocked Site | Bandwidth: 0
Timestamp: 2023-01-01 12:20:00 | User: user2 | Action: Blocked Site | Bandwidth: 0
Timestamp: 2023-01-01 12:25:00 | User: user1 | Action: Access Granted | Bandwidth: 700
Timestamp: 2023-01-01 12:30:00 | User: user4 | Action: Access Granted | Bandwidth: 800
